feature,train_mean_raw,train_std_raw,train_mean_standardized,train_std_standardized,full_standardized_min,full_standardized_max
mktbeta,1.1409317306625,0.11759418233009956,1.7763568394002506e-16,1.0,-3.811509487810564,1.7278796392080658
ni,0.00533658452499998,0.005193329970061242,1.6653345369377347e-17,1.0,-1.027584335246283,2.444570159837217
noa,0.00018034453088521026,0.018598096384439954,-7.401486830834377e-18,1.0,-9.846208182020563,13.086548931194425
oa,-6.442186666666751e-05,0.0025685319178035716,3.700743415417188e-17,0.9999999999999999,-7.048145287917652,7.0451138805161335
ol,-0.0007727563445891328,0.011039343104470807,2.2204460492503132e-17,0.9999999999999999,-12.972453990650571,9.16937765759191
op,-0.0012904175767777207,0.020010292277595362,-1.4802973661668754e-17,0.9999999999999999,-8.275708471078797,8.898734991772736
pcm,0.0003069049567299688,0.005687356156826972,-2.2204460492503132e-17,1.0,-12.492125579399573,12.462126201511971
pm,-0.0023205655514256865,0.02523065149657591,0.0,1.0,-10.02704587962473,14.019761338456414
prof,0.00017404319091829455,0.013942626568341368,2.2204460492503132e-17,0.9999999999999999,-8.486683126069371,6.32090979408092
q,-0.0010651812705829438,0.034746517000208484,2.960594732333751e-17,1.0,-8.325511836646081,6.010990000215508
r2_1,7.801458333333404e-05,0.06666843034126042,3.7007434154171884e-18,1.0,-3.87828261832218,4.82996200403087
r12_2,0.0009626890166666636,0.08393959620907664,2.960594732333751e-17,1.0,-3.8934516101630607,3.591608103908577
r12_7,0.000810695625000001,0.07898874453350395,2.0354088784794535e-17,1.0,-4.313747770487382,3.66383258886014
r36_13,-0.0014762826541666685,0.09232581445744102,7.401486830834377e-18,1.0,-4.173883605689387,3.4145841388649525
rel2high,0.00036244339747748994,0.058846500683375144,3.14563190310461e-17,0.9999999999999999,-5.904142704460484,4.395407310434259
resid_var,0.001074653061445699,0.10615211499111818,1.6653345369377347e-17,0.9999999999999999,-3.4384706960319837,8.103587808622645
rna,-0.0017939920683163718,0.04294799652693133,-3.7007434154171884e-18,0.9999999999999999,-9.569937431694594,9.691280421903588
roa,-0.0033531286888295164,0.041759813258427765,-2.2204460492503132e-17,1.0000000000000002,-27.424630364977727,24.6689786477902
roe,-0.001820102277388945,0.03282229298042409,-1.3877787807814457e-17,0.9999999999999997,-21.844424832952402,20.49653289261179
s2p,0.00017772439984202655,0.08748515258570366,-1.4802973661668754e-17,1.0,-5.418899290176761,8.442475176719661
sga2s,0.0018879290259424491,0.009774653767128043,3.3306690738754695e-17,0.9999999999999999,-6.750412803608096,7.106306151990462
spread,0.0019376061459316877,0.08822118507495653,0.0,1.0,-4.527415399529468,8.349251202110791
st_rev,-6.326874999999915e-05,0.06665310229932772,1.1102230246251566e-17,1.0,-3.877054815685698,4.83319241921091
suv,-0.0076940672208333305,0.2042364502211436,-3.3306690738754695e-17,1.0,-2.1113164438192227,4.049430037220721
variance,0.000537426053837578,0.13792664208238672,3.7007434154171884e-18,1.0,-4.76286402219149,10.085772280455357
dp,-0.00031460787083332787,0.0441543771736896,1.295260195396016e-17,1.0,-3.392674853953753,5.695918297783059
ep,-0.0006701911416666701,0.04718980675579624,-2.2204460492503132e-17,1.0,-11.345689157596968,15.352579316351601
b/m,-0.0006183182610887151,0.044409585306235254,-2.960594732333751e-17,1.0,-8.928649114393002,13.499905158704015
ntis,-8.197847916666538e-05,0.003976333270909578,0.0,1.0,-6.449739942187188,7.510589390897609
tbl,1.2499999999996888e-06,0.0068638757349012616,-3.7007434154171884e-18,0.9999999999999999,-6.731073198932937,3.8023342799307596
tms,0.012907916666666665,0.01563372888958535,1.4802973661668754e-17,0.9999999999999999,-3.16034114545638,2.0847287018674767
dfy,2.5416666666666673e-05,0.0014127912064616874,1.4802973661668754e-17,1.0,-4.477248044676446,6.635505154942056
svar,0.0033512182368978867,0.5662152343222179,-1.850371707708594e-17,1.0,-5.260337151120185,5.878382609205901
